p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,monomer_state
0.037815128,0.008403362,0.075630255,0.067226894,0.05042017,0.09243698,0.042016808,0.05462185,0.084033616,0.075630255,0.029411765,0.05462185,0.042016808,0.033613447,0.025210084,0.04621849,0.05882353,0.067226894,0.004201681,0.0,0.05042017,0
0.033613447,0.012605042,0.075630255,0.067226894,0.05042017,0.09243698,0.042016808,0.05462185,0.084033616,0.075630255,0.029411765,0.05462185,0.042016808,0.033613447,0.025210084,0.04621849,0.05882353,0.067226894,0.004201681,0.0,0.05042017,0
0.033613447,0.008403362,0.075630255,0.067226894,0.05042017,0.09243698,0.042016808,0.05462185,0.084033616,0.079831935,0.029411765,0.05462185,0.042016808,0.033613447,0.025210084,0.04621849,0.05882353,0.067226894,0.004201681,0.0,0.05042017,0
0.033613447,0.008403362,0.075630255,0.067226894,0.05042017,0.09243698,0.042016808,0.05462185,0.084033616,0.075630255,0.029411765,0.05462185,0.042016808,0.033613447,0.025210084,0.04621849,0.063025214,0.067226894,0.004201681,0.0,0.05042017,0
0.033613447,0.008403362,0.075630255,0.067226894,0.05462185,0.09243698,0.042016808,0.05462185,0.084033616,0.075630255,0.029411765,0.05462185,0.042016808,0.033613447,0.025210084,0.05042017,0.05882353,0.067226894,0.004201681,0.0,0.04621849,0
0.033613447,0.008403362,0.075630255,0.067226894,0.05042017,0.09243698,0.04621849,0.05462185,0.084033616,0.075630255,0.029411765,0.05462185,0.042016808,0.033613447,0.025210084,0.05042017,0.05882353,0.067226894,0.004201681,0.0,0.04621849,0
0.037815128,0.008403362,0.075630255,0.067226894,0.05462185,0.10084034,0.037815128,0.05042017,0.084033616,0.084033616,0.025210084,0.05462185,0.042016808,0.029411765,0.029411765,0.037815128,0.05882353,0.067226894,0.004201681,0.0,0.05042017,0
0.039647575,0.008810572,0.07488987,0.066079296,0.057268724,0.0969163,0.039647575,0.052863438,0.08370044,0.08370044,0.017621145,0.057268724,0.04405286,0.030837005,0.030837005,0.03524229,0.057268724,0.07048458,0.004405286,0.0,0.04845815,0
0.057268724,0.030837005,0.04405286,0.07929515,0.057268724,0.09251101,0.030837005,0.03524229,0.066079296,0.07048458,0.039647575,0.03524229,0.057268724,0.017621145,0.052863438,0.04405286,0.07488987,0.057268724,0.008810572,0.0,0.04845815,0
0.03629032,0.008064516,0.06854839,0.06048387,0.048387095,0.09677419,0.06048387,0.044354837,0.08064516,0.08064516,0.012096774,0.052419353,0.044354837,0.028225806,0.04032258,0.052419353,0.06854839,0.06854839,0.004032258,0.0,0.044354837,0
0.060606062,0.025974026,0.043290045,0.077922076,0.056277055,0.0995671,0.038961038,0.034632035,0.064935066,0.06926407,0.038961038,0.034632035,0.056277055,0.017316017,0.04761905,0.051948052,0.06926407,0.056277055,0.008658009,0.0,0.04761905,0
