algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,random_seed
SVC,0.0090998649597167,0.0121320247650146,0.3569438102802388,0.5209921355111917,0.2714824903592397,0.5209921355111917,0.4715447154471545,0.4715447154471545,1.0,0.6408839779005525,0.0,1.0,0.0,bepler_embedding,42
KNN,0.0024341106414794,0.010337495803833,0.8180837088395194,0.8181488203266788,0.8198003648230507,0.8181488203266788,0.7398373983739838,0.7166666666666667,0.7413793103448276,0.7288135593220338,0.4792057183508868,0.7413793103448276,0.7384615384615385,bepler_embedding,42
DecisionTree,0.0148608684539794,0.0065253257751464,0.8041874606915019,0.8044162129461585,0.8063794192968421,0.8044162129461585,0.7560975609756098,0.7058823529411765,0.8275862068965517,0.7619047619047619,0.5219748704280446,0.8275862068965517,0.6923076923076923,bepler_embedding,42
RandomForest,0.187455940246582,0.0108624458312988,0.8461689997657478,0.8462189957652753,0.8469333962097852,0.8462189957652753,0.8617886178861789,0.8596491228070176,0.8448275862068966,0.8521739130434782,0.7225176672392142,0.8448275862068966,0.8769230769230769,bepler_embedding,42
AdaBoost,0.1944111824035644,0.0119847774505615,0.8106437420761251,0.8113127646702963,0.8130430864428314,0.8113127646702963,0.8455284552845529,0.819672131147541,0.8620689655172413,0.8403361344537815,0.6917381614096196,0.8620689655172413,0.8307692307692308,bepler_embedding,42
GradientBoosting,0.7770461082458496,0.0062246322631835,0.8252493786848006,0.8253478523895946,0.8261829883456251,0.8253478523895946,0.8617886178861789,0.8360655737704918,0.8793103448275862,0.8571428571428571,0.724312355074774,0.8793103448275862,0.8461538461538461,bepler_embedding,42
ExtraTrees-ensemble,0.0864936351776123,0.0096394538879394,0.8426798354611744,0.8427102238354507,0.8439654709759896,0.8427102238354507,0.8292682926829268,0.8245614035087719,0.8103448275862069,0.8173913043478261,0.657196334589142,0.8103448275862069,0.8461538461538461,bepler_embedding,42
SVC,0.026251745223999,0.0177406311035156,0.3569438102802388,0.5209921355111917,0.2714824903592397,0.5209921355111917,0.4715447154471545,0.4715447154471545,1.0,0.6408839779005525,0.0,1.0,0.0,esm1b_embedding,42
KNN,0.0079012393951416,0.013755178451538,0.8212985775519626,0.8216575922565033,0.8235547503514835,0.8216575922565033,0.7967479674796748,0.746268656716418,0.8620689655172413,0.8,0.6019692853663788,0.8620689655172413,0.7384615384615385,esm1b_embedding,42
DecisionTree,0.132572603225708,0.00944185256958,0.7214553200642466,0.7236539624924381,0.7286519707480782,0.7236539624924381,0.7723577235772358,0.734375,0.8103448275862069,0.7704918032786885,0.5483701706951781,0.8103448275862069,0.7384615384615385,esm1b_embedding,42
RandomForest,0.3297910213470459,0.0127569675445556,0.842530130495622,0.8427102238354507,0.8446802099798998,0.8427102238354507,0.8373983739837398,0.8166666666666667,0.8448275862068966,0.8305084745762712,0.6747025785736367,0.8448275862068966,0.8307692307692308,esm1b_embedding,42
AdaBoost,1.515756607055664,0.0171303749084472,0.832042394864523,0.8323049001814882,0.8334605226907346,0.8323049001814882,0.7967479674796748,0.7538461538461538,0.8448275862068966,0.7967479674796748,0.5986737400530504,0.8448275862068966,0.7538461538461538,esm1b_embedding,42
GradientBoosting,7.617444610595703,0.0096818447113037,0.8353140162613497,0.835753176043557,0.8381938666235159,0.835753176043557,0.8455284552845529,0.819672131147541,0.8620689655172413,0.8403361344537815,0.6917381614096196,0.8620689655172413,0.8307692307692308,esm1b_embedding,42
ExtraTrees-ensemble,0.1168141841888427,0.0124354839324951,0.8636245212593797,0.8637023593466425,0.864075651375764,0.8637023593466425,0.8536585365853658,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.706366047745358,0.8448275862068966,0.8615384615384616,esm1b_embedding,42
SVC,0.0220036029815673,0.0173238277435302,0.5152356221275758,0.5625529340592862,0.6086984249485381,0.5625529340592862,0.5691056910569106,0.5280898876404494,0.8103448275862069,0.6394557823129252,0.1832675238450858,0.8103448275862069,0.3538461538461538,esme_embedding,42
KNN,0.0076968193054199,0.015828514099121,0.7439146915435628,0.7449485783424078,0.7457515326490641,0.7449485783424078,0.7804878048780488,0.7313432835820896,0.8448275862068966,0.784,0.5692651236614034,0.8448275862068966,0.7230769230769231,esme_embedding,42
DecisionTree,0.1175513267517089,0.0097659111022949,0.7404506804287577,0.7411373260738052,0.7435862658707535,0.7411373260738052,0.7642276422764228,0.7735849056603774,0.7068965517241379,0.7387387387387387,0.5264875263231703,0.7068965517241379,0.8153846153846154,esme_embedding,42
RandomForest,0.3767601013183593,0.0143529415130615,0.800035177986099,0.8008469449485783,0.8039471024509458,0.8008469449485783,0.8617886178861789,0.8596491228070176,0.8448275862068966,0.8521739130434782,0.7225176672392142,0.8448275862068966,0.8769230769230769,esme_embedding,42
AdaBoost,1.5224146842956543,0.017878770828247,0.7757383247602287,0.7762250453720508,0.778103482961366,0.7762250453720508,0.8292682926829268,0.8032786885245902,0.8448275862068966,0.8235294117647058,0.6591639677444653,0.8448275862068966,0.8153846153846154,esme_embedding,42
GradientBoosting,7.507300662994385,0.0092748165130615,0.8036176884356229,0.804174228675136,0.8062389031617707,0.804174228675136,0.8536585365853658,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.7061971828326423,0.8275862068965517,0.8769230769230769,esme_embedding,42
ExtraTrees-ensemble,0.1223546504974365,0.0130710124969482,0.8178244006040675,0.8183303085299455,0.8200073217556412,0.8183303085299455,0.8617886178861789,0.8596491228070176,0.8448275862068966,0.8521739130434782,0.7225176672392142,0.8448275862068966,0.8769230769230769,esme_embedding,42
SVC,0.0028178215026855,0.0045302867889404,0.7934592424138966,0.7937689050211737,0.7954196659923198,0.7937689050211737,0.7723577235772358,0.734375,0.8103448275862069,0.7704918032786885,0.5483701706951781,0.8103448275862069,0.7384615384615385,onehot_embedding,42
KNN,0.0011297225952148,0.0109322547912597,0.7821279036886822,0.7834845735027223,0.7861711223326469,0.7834845735027223,0.8373983739837398,0.796875,0.8793103448275862,0.8360655737704918,0.6787704239489373,0.8793103448275862,0.8,onehot_embedding,42
DecisionTree,0.004201602935791,0.0045749187469482,0.8217981172862958,0.8220205686630369,0.8234917516348151,0.8220205686630369,0.7804878048780488,0.746031746031746,0.8103448275862069,0.7768595041322314,0.5634442028371124,0.8103448275862069,0.7538461538461538,onehot_embedding,42
RandomForest,0.1159847736358642,0.0072730064392089,0.8635394162037373,0.8638233514821536,0.8654897277458602,0.8638233514821536,0.8292682926829268,0.8135593220338984,0.8275862068965517,0.8205128205128205,0.6578321719020939,0.8275862068965517,0.8307692307692308,onehot_embedding,42
AdaBoost,0.0659987449645996,0.008258581161499,0.7861585948904177,0.7867513611615246,0.7888299621980319,0.7867513611615246,0.7804878048780488,0.746031746031746,0.8103448275862069,0.7768595041322314,0.5634442028371124,0.8103448275862069,0.7538461538461538,onehot_embedding,42
GradientBoosting,0.14290771484375,0.0042719364166259,0.8634046647528162,0.8638233514821538,0.8658489403576926,0.8638233514821538,0.8292682926829268,0.7936507936507936,0.8620689655172413,0.8264462809917356,0.6611926329484873,0.8620689655172413,0.8,onehot_embedding,42
ExtraTrees-ensemble,0.0725468635559082,0.0070137977600097,0.8562820520599546,0.8568663036902601,0.8608704664126623,0.8568663036902601,0.8617886178861789,0.8596491228070176,0.8448275862068966,0.8521739130434782,0.7225176672392142,0.8448275862068966,0.8769230769230769,onehot_embedding,42
SVC,0.0085615634918212,0.0117740631103515,0.8316203590329948,0.832183908045977,0.8419696358604443,0.832183908045977,0.7886178861788617,0.7857142857142857,0.7586206896551724,0.7719298245614035,0.5753805360127402,0.7586206896551724,0.8153846153846154,ARGP820101_FFT,42
KNN,0.002516222000122,0.009543228149414,0.7962589041242333,0.7972776769509982,0.8011446261980042,0.7972776769509982,0.7723577235772358,0.7272727272727273,0.8275862068965517,0.7741935483870968,0.5512483194371954,0.8275862068965517,0.7230769230769231,ARGP820101_FFT,42
