index,Encoder,Algorithm,F1,Recall,Precision,Accuracy,random_seed,Stage,Type-Encoder
0,bepler_embedding,SVC,0.3569438102802388,0.5209921355111917,0.2714824903592397,0.5209921355111917,42,Training,NLP-Based
1,bepler_embedding,KNN,0.8180837088395194,0.8181488203266788,0.8198003648230507,0.8181488203266788,42,Training,NLP-Based
2,bepler_embedding,DecisionTree,0.8041874606915019,0.8044162129461585,0.8063794192968421,0.8044162129461585,42,Training,NLP-Based
3,bepler_embedding,RandomForest,0.8461689997657478,0.8462189957652753,0.8469333962097852,0.8462189957652753,42,Training,NLP-Based
4,bepler_embedding,AdaBoost,0.8106437420761251,0.8113127646702963,0.8130430864428314,0.8113127646702963,42,Training,NLP-Based
5,bepler_embedding,GradientBoosting,0.8252493786848006,0.8253478523895946,0.8261829883456251,0.8253478523895946,42,Training,NLP-Based
6,bepler_embedding,ExtraTrees-ensemble,0.8426798354611744,0.8427102238354507,0.8439654709759896,0.8427102238354507,42,Training,NLP-Based
7,esm1b_embedding,SVC,0.3569438102802388,0.5209921355111917,0.2714824903592397,0.5209921355111917,42,Training,NLP-Based
8,esm1b_embedding,KNN,0.8212985775519626,0.8216575922565033,0.8235547503514835,0.8216575922565033,42,Training,NLP-Based
9,esm1b_embedding,DecisionTree,0.7214553200642466,0.7236539624924381,0.7286519707480782,0.7236539624924381,42,Training,NLP-Based
10,esm1b_embedding,RandomForest,0.842530130495622,0.8427102238354507,0.8446802099798998,0.8427102238354507,42,Training,NLP-Based
11,esm1b_embedding,AdaBoost,0.832042394864523,0.8323049001814882,0.8334605226907346,0.8323049001814882,42,Training,NLP-Based
12,esm1b_embedding,GradientBoosting,0.8353140162613497,0.835753176043557,0.8381938666235159,0.835753176043557,42,Training,NLP-Based
13,esm1b_embedding,ExtraTrees-ensemble,0.8636245212593797,0.8637023593466425,0.864075651375764,0.8637023593466425,42,Training,NLP-Based
14,esme_embedding,SVC,0.5152356221275758,0.5625529340592862,0.6086984249485381,0.5625529340592862,42,Training,NLP-Based
15,esme_embedding,KNN,0.7439146915435628,0.7449485783424078,0.7457515326490641,0.7449485783424078,42,Training,NLP-Based
16,esme_embedding,DecisionTree,0.7404506804287577,0.7411373260738052,0.7435862658707535,0.7411373260738052,42,Training,NLP-Based
17,esme_embedding,RandomForest,0.800035177986099,0.8008469449485783,0.8039471024509458,0.8008469449485783,42,Training,NLP-Based
18,esme_embedding,AdaBoost,0.7757383247602287,0.7762250453720508,0.778103482961366,0.7762250453720508,42,Training,NLP-Based
19,esme_embedding,GradientBoosting,0.8036176884356229,0.804174228675136,0.8062389031617707,0.804174228675136,42,Training,NLP-Based
20,esme_embedding,ExtraTrees-ensemble,0.8178244006040675,0.8183303085299455,0.8200073217556412,0.8183303085299455,42,Training,NLP-Based
21,onehot_embedding,SVC,0.7934592424138966,0.7937689050211737,0.7954196659923198,0.7937689050211737,42,Training,One-Hot-Based
22,onehot_embedding,KNN,0.7821279036886822,0.7834845735027223,0.7861711223326469,0.7834845735027223,42,Training,One-Hot-Based
23,onehot_embedding,DecisionTree,0.8217981172862958,0.8220205686630369,0.8234917516348151,0.8220205686630369,42,Training,One-Hot-Based
24,onehot_embedding,RandomForest,0.8635394162037373,0.8638233514821536,0.8654897277458602,0.8638233514821536,42,Training,One-Hot-Based
25,onehot_embedding,AdaBoost,0.7861585948904177,0.7867513611615246,0.7888299621980319,0.7867513611615246,42,Training,One-Hot-Based
26,onehot_embedding,GradientBoosting,0.8634046647528162,0.8638233514821538,0.8658489403576926,0.8638233514821538,42,Training,One-Hot-Based
27,onehot_embedding,ExtraTrees-ensemble,0.8562820520599546,0.8568663036902601,0.8608704664126623,0.8568663036902601,42,Training,One-Hot-Based
28,ARGP820101_FFT,SVC,0.8316203590329948,0.832183908045977,0.8419696358604443,0.832183908045977,42,Training,FFT-Based
29,ARGP820101_FFT,KNN,0.7962589041242333,0.7972776769509982,0.8011446261980042,0.7972776769509982,42,Training,FFT-Based
30,ARGP820101_FFT,DecisionTree,0.7598775175281884,0.7623714458560193,0.7696379271061667,0.7623714458560193,42,Training,FFT-Based
31,ARGP820101_FFT,RandomForest,0.8496214388493074,0.8497277676950997,0.8510989186718068,0.8497277676950997,42,Training,FFT-Based
32,ARGP820101_FFT,AdaBoost,0.8354120722361833,0.8358741681790685,0.8372605386729267,0.8358741681790685,42,Training,FFT-Based
33,ARGP820101_FFT,GradientBoosting,0.8319088632715698,0.8323049001814882,0.8340829152744351,0.8323049001814882,42,Training,FFT-Based
34,ARGP820101_FFT,ExtraTrees-ensemble,0.856503157826954,0.8567453115547489,0.8589476932138369,0.8567453115547489,42,Training,FFT-Based
35,CRAJ730102_FFT,SVC,0.7359726410622868,0.7379310344827588,0.7532017668257783,0.7379310344827588,42,Training,FFT-Based
36,CRAJ730102_FFT,KNN,0.8207617987987778,0.8215970961887477,0.8247163768594172,0.8215970961887477,42,Training,FFT-Based
37,CRAJ730102_FFT,DecisionTree,0.7758521818424352,0.7762855414398064,0.7782124124894846,0.7762855414398064,42,Training,FFT-Based
38,CRAJ730102_FFT,RandomForest,0.839337582040218,0.8393224440411373,0.8408130479455342,0.8393224440411373,42,Training,FFT-Based
39,CRAJ730102_FFT,AdaBoost,0.8040189752500886,0.8044162129461585,0.8054214262393137,0.8044162129461585,42,Training,FFT-Based
40,CRAJ730102_FFT,GradientBoosting,0.8351886922234947,0.8357531760435573,0.8378132353612268,0.8357531760435573,42,Training,FFT-Based
41,CRAJ730102_FFT,ExtraTrees-ensemble,0.8777436445030233,0.8777979431336963,0.878622035858878,0.8777979431336963,42,Training,FFT-Based
42,ANDN920101_FFT,SVC,0.4770105287419554,0.5595281306715063,0.5335539559823617,0.5595281306715063,42,Training,FFT-Based
43,ANDN920101_FFT,KNN,0.7665457410221518,0.7693889897156684,0.7854806111881134,0.7693889897156684,42,Training,FFT-Based
44,ANDN920101_FFT,DecisionTree,0.7329911704967509,0.7343617664851784,0.7379424705872807,0.7343617664851784,42,Training,FFT-Based
45,ANDN920101_FFT,RandomForest,0.796905380339986,0.797459165154265,0.8025156904487132,0.797459165154265,42,Training,FFT-Based
46,ANDN920101_FFT,AdaBoost,0.8183471401971391,0.8184513006654568,0.8204895105295096,0.8184513006654568,42,Training,FFT-Based
47,ANDN920101_FFT,GradientBoosting,0.7971051383247391,0.797459165154265,0.8012136448361401,0.797459165154265,42,Training,FFT-Based
48,ANDN920101_FFT,ExtraTrees-ensemble,0.8037160786652052,0.8045372050816697,0.809960007351075,0.8045372050816697,42,Training,FFT-Based
49,ROBB760113_FFT,SVC,0.8530091810422009,0.85329703569268,0.8552168594902334,0.85329703569268,42,Training,FFT-Based
50,ROBB760113_FFT,KNN,0.7846708828534572,0.7870538415003023,0.792976379583866,0.7870538415003023,42,Training,FFT-Based
51,ROBB760113_FFT,DecisionTree,0.7475574250451154,0.7481548699334544,0.7513795603079018,0.7481548699334544,42,Training,FFT-Based
52,ROBB760113_FFT,RandomForest,0.8425512472699055,0.8427707199032064,0.8451638737653413,0.8427707199032064,42,Training,FFT-Based
53,ROBB760113_FFT,AdaBoost,0.7640827424723808,0.7661222020568662,0.7707596469333194,0.7661222020568662,42,Training,FFT-Based
54,ROBB760113_FFT,GradientBoosting,0.8038759886802259,0.8043557168784028,0.806014835873275,0.8043557168784028,42,Training,FFT-Based
55,ROBB760113_FFT,ExtraTrees-ensemble,0.8531366707176087,0.8532365396249244,0.8564662539253801,0.8532365396249244,42,Training,FFT-Based
56,ARGP820101_physicochemical_properties,SVC,0.8166302646145713,0.8184513006654566,0.8300350856430712,0.8184513006654566,42,Training,PHY-Based
57,ARGP820101_physicochemical_properties,KNN,0.7826014436721542,0.7836660617059892,0.7882227338845804,0.7836660617059892,42,Training,PHY-Based
58,ARGP820101_physicochemical_properties,DecisionTree,0.7497208593015516,0.7520266182698124,0.7584067354656299,0.7520266182698124,42,Training,PHY-Based
59,ARGP820101_physicochemical_properties,RandomForest,0.8250900883712399,0.8254688445251059,0.8291549709952614,0.8254688445251059,42,Training,PHY-Based
60,ARGP820101_physicochemical_properties,AdaBoost,0.7897570435352623,0.7905021173623715,0.7928908766689113,0.7905021173623715,42,Training,PHY-Based
61,ARGP820101_physicochemical_properties,GradientBoosting,0.8072718248690789,0.807924984875983,0.8106565523038997,0.807924984875983,42,Training,PHY-Based
62,ARGP820101_physicochemical_properties,ExtraTrees-ensemble,0.8213867040080449,0.8220205686630369,0.8262061732509307,0.8220205686630369,42,Training,PHY-Based
63,CRAJ730102_physicochemical_properties,SVC,0.7415050780802889,0.7450695704779189,0.7568215478049016,0.7450695704779189,42,Training,PHY-Based
64,CRAJ730102_physicochemical_properties,KNN,0.76112335403679,0.7626134301270417,0.767713492711063,0.7626134301270417,42,Training,PHY-Based
65,CRAJ730102_physicochemical_properties,DecisionTree,0.7685349764571104,0.7695704779189352,0.7715178273019623,0.7695704779189352,42,Training,PHY-Based
66,CRAJ730102_physicochemical_properties,RandomForest,0.8143246858583169,0.8149425287356322,0.818029005241096,0.8149425287356322,42,Training,PHY-Based
67,CRAJ730102_physicochemical_properties,AdaBoost,0.7970225487993202,0.7973986690865094,0.7990594916383058,0.7973986690865094,42,Training,PHY-Based
68,CRAJ730102_physicochemical_properties,GradientBoosting,0.7999807736337947,0.8009074410163339,0.8040325487176666,0.8009074410163339,42,Training,PHY-Based
69,CRAJ730102_physicochemical_properties,ExtraTrees-ensemble,0.8215741937325752,0.8220810647307925,0.8254676314937331,0.8220810647307925,42,Training,PHY-Based
70,ANDN920101_physicochemical_properties,SVC,0.697456337940747,0.6993345432546885,0.7057085447899428,0.6993345432546885,42,Training,PHY-Based
71,ANDN920101_physicochemical_properties,KNN,0.7672913125499088,0.7693889897156685,0.7798303932957934,0.7693889897156685,42,Training,PHY-Based
72,ANDN920101_physicochemical_properties,DecisionTree,0.7971977420616685,0.7975801572897762,0.7995562301495273,0.7975801572897762,42,Training,PHY-Based
73,ANDN920101_physicochemical_properties,RandomForest,0.8040149050148766,0.8045977011494253,0.8066928020232862,0.8045977011494253,42,Training,PHY-Based
