params,train_accuracy,train_precision,train_f1,train_recall,test_accuracy,test_precision,test_f1,test_recall,test_mcc,test_cm,overfitting_ratio,encoder,algorithm,random_seed
"{'probability': True, 'random_state': 42}",0.5625529340592862,0.5594763271162123,0.658171683696953,0.8133333333333335,0.5691056910569106,0.6065024529954487,0.547076874603007,0.5691056910569106,0.1832675238450858,"[[23, 42], [11, 47]]",0.6997201119552178,esme_embedding,SVC,42
"{'n_neighbors': 3, 'leaf_size': 9, 'algorithm': 'brute', 'metric': 'cityblock'}",0.8042952208106474,0.8030107526881721,0.8165084843255681,0.8321839080459771,0.8211382113821138,0.8211468788461872,0.8209242618741976,0.8211382113821138,0.6407888594226913,"[[55, 10], [12, 46]]",0.9867268562188384,esme_embedding,KNeighborsClassifier,42
"{'n_estimators': 4994, 'criterion': 'gini', 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.8078039927404719,0.807864219114219,0.817517427573045,0.8314942528735632,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.706366047745358,"[[56, 9], [9, 49]]",1.026655967416738,esme_embedding,RandomForestClassifier,42
"{'n_estimators': 3655, 'learning_rate': 1.8034645767266295, 'algorithm': 'SAMME.R'}",0.8357531760435573,0.8453663067456171,0.8412052730696798,0.8383908045977012,0.8617886178861789,0.8620125396169216,0.8618435617868403,0.8617886178861789,0.7230322985289734,"[[56, 9], [8, 50]]",1.0279080032368737,esme_embedding,AdaBoostClassifier,42
"{'n_estimators': 2930, 'criterion': 'entropy', 'min_samples_split': 19, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.8078039927404719,0.8115787841191067,0.8163724887231881,0.8248275862068966,0.8699186991869918,0.8705510388437216,0.8700048229295853,0.8699186991869918,0.7398681986478866,"[[56, 9], [7, 51]]",1.0546673192484433,esme_embedding,ExtraTreesClassifier,42
"{'loss': 'log_loss', 'learning_rate': 0.35736665716412597, 'n_estimators': 2487, 'criterion': 'friedman_mse', 'min_samples_split': 18, 'min_samples_leaf': 23, 'max_depth': 10, 'max_features': 'sqrt', 'n_iter_no_change': 10}",0.797156684815487,0.8126813186813188,0.8047745358090186,0.8048275862068965,0.8292682926829268,0.8291969761802882,0.8291776286498344,0.8292682926829268,0.657196334589142,"[[55, 10], [11, 47]]",1.0303676301544509,esme_embedding,GradientBoostingClassifier,42
"{'criterion': 'log_loss', 'splitter': 'random', 'min_weight_fraction_leaf': 0.07364863372848679, 'max_depth': 68, 'min_impurity_decrease': 27.28417645828516, 'max_leaf_nodes': 92}",0.5209921355111917,0.5209921355111917,0.6850404607421448,1.0,0.4715447154471545,0.2223544186661379,0.3022054529937564,0.4715447154471545,0.0,"[[0, 65], [0, 58]]",0.4715447154471545,esme_embedding,DecisionTreeClassifier,42
"{'probability': True, 'random_state': 42}",0.5209921355111917,0.5209921355111917,0.6850404607421448,1.0,0.4715447154471545,0.2223544186661379,0.3022054529937564,0.4715447154471545,0.0,"[[0, 65], [0, 58]]",0.4715447154471545,esm1b_embedding,SVC,42
"{'n_neighbors': 3, 'leaf_size': 12, 'algorithm': 'auto', 'metric': 'cityblock'}",0.85329703569268,0.8371590909090909,0.8638489755147608,0.8928735632183908,0.7967479674796748,0.804860713852341,0.7965060807632871,0.7967479674796748,0.6019692853663788,"[[48, 17], [8, 50]]",0.8923413127025194,esm1b_embedding,KNeighborsClassifier,42
"{'n_estimators': 541, 'criterion': 'log_loss', 'min_samples_split': 11, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.8285541439806412,0.8419704433497538,0.8333690157597384,0.8250574712643679,0.8373983739837398,0.8394276697922981,0.8375274228932765,0.8373983739837398,0.6763779725268639,"[[53, 12], [8, 50]]",1.014957627982521,esm1b_embedding,RandomForestClassifier,42
"{'n_estimators': 951, 'learning_rate': 0.15582636272354233, 'algorithm': 'SAMME.R'}",0.8602540834845736,0.8659531273324376,0.8650834469770764,0.8655172413793103,0.8130081300813008,0.8142721406061232,0.8131566050656868,0.8130081300813008,0.6265897740793108,"[[52, 13], [10, 48]]",0.9393321024843716,esm1b_embedding,AdaBoostClassifier,42
"{'n_estimators': 1920, 'criterion': 'log_loss', 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.8600725952813066,0.8620208153091913,0.866321225942178,0.8719540229885057,0.8130081300813008,0.8132643482155161,0.8130824659469017,0.8130081300813008,0.6252321085886541,"[[53, 12], [11, 47]]",0.9323979345778168,esm1b_embedding,ExtraTreesClassifier,42
"{'loss': 'exponential', 'learning_rate': 0.2437035450540163, 'n_estimators': 2701, 'criterion': 'friedman_mse', 'min_samples_split': 49, 'min_samples_leaf': 5, 'max_depth': 9, 'max_features': 'sqrt', 'n_iter_no_change': 4}",0.8286751361161524,0.824454898446834,0.8373120797763844,0.8517241379310345,0.8048780487804879,0.80886988424969,0.8049554371799668,0.8048780487804879,0.6135702973220577,"[[50, 15], [9, 49]]",0.9449985188110992,esm1b_embedding,GradientBoostingClassifier,42
"{'criterion': 'log_loss', 'splitter': 'random', 'min_weight_fraction_leaf': 0.35376441958574234, 'max_depth': 41, 'min_impurity_decrease': 11.500598628789705, 'max_leaf_nodes': 183}",0.5209921355111917,0.5209921355111917,0.6850404607421448,1.0,0.4715447154471545,0.2223544186661379,0.3022054529937564,0.4715447154471545,0.0,"[[0, 65], [0, 58]]",0.4715447154471545,esm1b_embedding,DecisionTreeClassifier,42
"{'probability': True, 'random_state': 42}",0.5209921355111917,0.5209921355111917,0.6850404607421448,1.0,0.4715447154471545,0.2223544186661379,0.3022054529937564,0.4715447154471545,0.0,"[[0, 65], [0, 58]]",0.4715447154471545,bepler_embedding,SVC,42
"{'n_neighbors': 3, 'leaf_size': 22, 'algorithm': 'kd_tree', 'metric': 'euclidean'}",0.8426497277676951,0.8581942163838715,0.847680824201867,0.839080459770115,0.7317073170731707,0.7344818686282102,0.7318847006651884,0.7317073170731707,0.4656957727257374,"[[46, 19], [14, 44]]",0.8720347477447377,bepler_embedding,KNeighborsClassifier,42
"{'n_estimators': 1712, 'criterion': 'log_loss', 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.8286751361161524,0.8539222117642584,0.8316499599498407,0.812183908045977,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.706366047745358,"[[56, 9], [9, 49]]",1.0510655630190608,bepler_embedding,RandomForestClassifier,42
"{'n_estimators': 2228, 'learning_rate': 1.7276334874850883, 'algorithm': 'SAMME'}",0.8636418632788867,0.8787087912087912,0.8673839619779553,0.8586206896551725,0.8292682926829268,0.8295137453493179,0.8293361645602145,0.8292682926829268,0.6578321719020939,"[[54, 11], [10, 48]]",0.9658144774218824,bepler_embedding,AdaBoostClassifier,42
"{'n_estimators': 257, 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8463399879007865,0.8474137931034482,0.8529615454711135,0.8590804597701149,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.706366047745358,"[[56, 9], [9, 49]]",0.9936886898973352,bepler_embedding,ExtraTreesClassifier,42
"{'loss': 'exponential', 'learning_rate': 0.034911053007629984, 'n_estimators': 4228, 'criterion': 'friedman_mse', 'min_samples_split': 25, 'min_samples_leaf': 14, 'max_depth': 9, 'max_features': 'sqrt', 'n_iter_no_change': 9}",0.8637023593466425,0.8768137436658014,0.8672818472967636,0.8590804597701149,0.8455284552845529,0.8457631424831197,0.8455898631735274,0.8455284552845529,0.6904322352155337,"[[55, 10], [9, 49]]",0.9842249880887892,bepler_embedding,GradientBoostingClassifier,42
"{'criterion': 'gini', 'splitter': 'best', 'min_weight_fraction_leaf': 0.2041175906375124, 'max_depth': 1, 'min_impurity_decrease': 71.4726166103139, 'max_leaf_nodes': 147}",0.5209921355111917,0.5209921355111917,0.6850404607421448,1.0,0.4715447154471545,0.2223544186661379,0.3022054529937564,0.4715447154471545,0.0,"[[0, 65], [0, 58]]",0.4715447154471545,bepler_embedding,DecisionTreeClassifier,42
"{'probability': True, 'random_state': 42}",0.7379310344827588,0.8034163365402754,0.7264284086840478,0.6719540229885057,0.6991869918699187,0.698821790356941,0.6985865267528848,0.6991869918699187,0.3952095447526623,"[[48, 17], [20, 38]]",1.0405280241649493,CRAJ730102_FFT,SVC,42
"{'n_neighbors': 3, 'leaf_size': 4, 'algorithm': 'kd_tree', 'metric': 'euclidean'}",0.8426497277676951,0.8297928253615128,0.852939707771964,0.8790804597701151,0.7967479674796748,0.7970149510817143,0.7968287673335887,0.7967479674796748,0.5926320452752143,"[[52, 13], [12, 46]]",0.9063424839269312,CRAJ730102_FFT,KNeighborsClassifier,42
"{'n_estimators': 645, 'criterion': 'log_loss', 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.8496672716273442,0.8588828857460671,0.8551858274808136,0.852183908045977,0.8373983739837398,0.8374547125002167,0.8372038744310888,0.8373983739837398,0.6734930211276668,"[[56, 9], [11, 47]]",0.9826498318935172,CRAJ730102_FFT,RandomForestClassifier,42
"{'n_estimators': 1880, 'learning_rate': 1.6617450610458495, 'algorithm': 'SAMME.R'}",0.8498487598306109,0.8569763107263109,0.8568424700445709,0.8593103448275862,0.8373983739837398,0.838056523422377,0.8375060286619815,0.8373983739837398,0.6747025785736367,"[[54, 11], [9, 49]]",0.9745005154706444,CRAJ730102_FFT,AdaBoostClassifier,42
"{'n_estimators': 1879, 'criterion': 'gini', 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.8707803992740472,0.8894279946560257,0.8734696587594826,0.8590804597701149,0.8536585365853658,0.8546273385439169,0.8532294971137344,0.8536585365853658,0.7067891238501371,"[[58, 7], [11, 47]]",0.9936886898973352,CRAJ730102_FFT,ExtraTreesClassifier,42
"{'loss': 'exponential', 'learning_rate': 0.08505252630270954, 'n_estimators': 1528, 'criterion': 'squared_error', 'min_samples_split': 42, 'min_samples_leaf': 18, 'max_depth': 8, 'max_features': 'log2', 'n_iter_no_change': 10}",0.821718088324259,0.8229514275120504,0.8306937112160785,0.839080459770115,0.8373983739837398,0.8382362567587028,0.8369216634597049,0.8373983739837398,0.6739710558117956,"[[57, 8], [12, 46]]",0.9979953224189776,CRAJ730102_FFT,GradientBoostingClassifier,42
"{'criterion': 'log_loss', 'splitter': 'best', 'min_weight_fraction_leaf': 0.40852365117040595, 'max_depth': 45, 'min_impurity_decrease': 41.30009180771148, 'max_leaf_nodes': 135}",0.5209921355111917,0.5209921355111917,0.6850404607421448,1.0,0.4715447154471545,0.2223544186661379,0.3022054529937564,0.4715447154471545,0.0,"[[0, 65], [0, 58]]",0.4715447154471545,CRAJ730102_FFT,DecisionTreeClassifier,42
