index,Encoder,Algorithm,F1,Recall,Precision,Accuracy,random_seed,Stage,Type-Encoder
0,esme_embedding,SVC,0.658171683696953,0.8133333333333335,0.5594763271162123,0.5625529340592862,42,Training,NLP-Based
1,esme_embedding,KNeighborsClassifier,0.8165084843255681,0.8321839080459771,0.8030107526881721,0.8042952208106474,42,Training,NLP-Based
2,esme_embedding,RandomForestClassifier,0.817517427573045,0.8314942528735632,0.807864219114219,0.8078039927404719,42,Training,NLP-Based
3,esme_embedding,AdaBoostClassifier,0.8412052730696798,0.8383908045977012,0.8453663067456171,0.8357531760435573,42,Training,NLP-Based
4,esme_embedding,ExtraTreesClassifier,0.8163724887231881,0.8248275862068966,0.8115787841191067,0.8078039927404719,42,Training,NLP-Based
5,esme_embedding,GradientBoostingClassifier,0.8047745358090186,0.8048275862068965,0.8126813186813188,0.797156684815487,42,Training,NLP-Based
6,esme_embedding,DecisionTreeClassifier,0.6850404607421448,1.0,0.5209921355111917,0.5209921355111917,42,Training,NLP-Based
7,esm1b_embedding,SVC,0.6850404607421448,1.0,0.5209921355111917,0.5209921355111917,42,Training,NLP-Based
8,esm1b_embedding,KNeighborsClassifier,0.8638489755147608,0.8928735632183908,0.8371590909090909,0.85329703569268,42,Training,NLP-Based
9,esm1b_embedding,RandomForestClassifier,0.8333690157597384,0.8250574712643679,0.8419704433497538,0.8285541439806412,42,Training,NLP-Based
10,esm1b_embedding,AdaBoostClassifier,0.8650834469770764,0.8655172413793103,0.8659531273324376,0.8602540834845736,42,Training,NLP-Based
11,esm1b_embedding,ExtraTreesClassifier,0.866321225942178,0.8719540229885057,0.8620208153091913,0.8600725952813066,42,Training,NLP-Based
12,esm1b_embedding,GradientBoostingClassifier,0.8373120797763844,0.8517241379310345,0.824454898446834,0.8286751361161524,42,Training,NLP-Based
13,esm1b_embedding,DecisionTreeClassifier,0.6850404607421448,1.0,0.5209921355111917,0.5209921355111917,42,Training,NLP-Based
14,bepler_embedding,SVC,0.6850404607421448,1.0,0.5209921355111917,0.5209921355111917,42,Training,NLP-Based
15,bepler_embedding,KNeighborsClassifier,0.847680824201867,0.839080459770115,0.8581942163838715,0.8426497277676951,42,Training,NLP-Based
16,bepler_embedding,RandomForestClassifier,0.8316499599498407,0.812183908045977,0.8539222117642584,0.8286751361161524,42,Training,NLP-Based
17,bepler_embedding,AdaBoostClassifier,0.8673839619779553,0.8586206896551725,0.8787087912087912,0.8636418632788867,42,Training,NLP-Based
18,bepler_embedding,ExtraTreesClassifier,0.8529615454711135,0.8590804597701149,0.8474137931034482,0.8463399879007865,42,Training,NLP-Based
19,bepler_embedding,GradientBoostingClassifier,0.8672818472967636,0.8590804597701149,0.8768137436658014,0.8637023593466425,42,Training,NLP-Based
20,bepler_embedding,DecisionTreeClassifier,0.6850404607421448,1.0,0.5209921355111917,0.5209921355111917,42,Training,NLP-Based
