p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,monomer_state
0.037815128,0.025210084,0.05462185,0.075630255,0.008403362,0.033613447,0.067226894,0.09243698,0.042016808,0.05462185,0.075630255,0.084033616,0.029411765,0.05042017,0.042016808,0.04621849,0.05882353,0.004201681,0.05042017,0.067226894,0.0,1.0728326,-0.79460275,-2.3483,0.3875957,-0.026504721,-0.9293855,0.52949816,-1.4206283,-1.9269812,2.4929035,1.624647,-0.664694,0.031566057,-1.1113728,0.24289504,-1.5639788,1.5685763,0.22685042,1.5151548,0.3632194,4.408469,0.16850954,-0.56924254,2.084617,0.014453472,0.39228404,-0.19731438,-0.056968085,-1.4553618,1.270882,2.0523174,0.43327788,-1.7936186,1.0698113,-1.6887634,-0.7636879,-0.9415193,1.5090433,0.48335883,0.26677382,-0.9347192,-1.2814822,0.9551166,-0.38337022,1.9986646,-2.128535,1.9498461,1.5130781,-1.0887345,-0.33440587,0.35200205,-1.27148,0.48941162,-0.004629753,-0.62393856,-0.18562418,0.0059165466,-0.2915635,-1.8187809,0.16337374,0.3101186,1.9205813,-1.1351631,0.99463975,-0.36376658,-0.9453249,0.44633755,-0.23301685,-0.1454633,-1.4279017,-0.71227837,0.39831343,0.21299332,-0.4091838,-0.0782053,-0.55294687,-0.68828356,0.51516193,0.77456206,-0.46483842,-1.7350117,-0.6048377,0.29243037,0.6554357,1.6624072,-0.27892843,3.3867989,2.140587,2.4263651,0.93337256,1.8516611,0.7830826,-0.017469749,0.01571753,-1.1547548,-0.15673386,0.08435086,-0.023550032,-1.1219175,2.4183683,0
0.033613447,0.025210084,0.05462185,0.075630255,0.012605042,0.033613447,0.067226894,0.09243698,0.042016808,0.05462185,0.075630255,0.084033616,0.029411765,0.05042017,0.042016808,0.04621849,0.05882353,0.004201681,0.05042017,0.067226894,0.0,1.0664426,-0.8076252,-2.3456354,0.38493747,-0.023943668,-0.92092586,0.5287464,-1.4255961,-1.9212688,2.487583,1.624266,-0.6608084,0.035204843,-1.1038886,0.24050036,-1.5638143,1.5675021,0.22742791,1.5040523,0.3696887,4.407376,0.16627054,-0.5654076,2.0947654,0.020665795,0.38996586,-0.20015047,-0.05758925,-1.4569172,1.2760801,2.0553732,0.43181074,-1.7966204,1.0641972,-1.6924628,-0.77557737,-0.936064,1.5134705,0.49003595,0.27226818,-0.934225,-1.276373,0.9440586,-0.37316445,1.9977784,-2.130128,1.9484682,1.5081927,-1.0808384,-0.33285153,0.35459867,-1.2732183,0.4936065,-0.008931529,-0.6203106,-0.194638,0.003697726,-0.29290634,-1.817849,0.16135567,0.3140184,1.9154522,-1.1309713,0.9927335,-0.36750492,-0.9585295,0.45247844,-0.23641182,-0.14437205,-1.425873,-0.7188515,0.40792662,0.2214689,-0.4179722,-0.062547,-0.56726706,-0.6967347,0.5148658,0.77713794,-0.47315246,-1.7352111,-0.6094065,0.29764098,0.6550686,1.6700412,-0.2909874,3.3720703,2.1510434,2.411882,0.939556,1.8528831,0.78023195,-0.01723639,0.022345517,-1.1547209,-0.15655504,0.08377806,-0.032495867,-1.1298851,2.4177897,0
0.033613447,0.025210084,0.05462185,0.075630255,0.008403362,0.033613447,0.067226894,0.09243698,0.042016808,0.05462185,0.079831935,0.084033616,0.029411765,0.05042017,0.042016808,0.04621849,0.05882353,0.004201681,0.05042017,0.067226894,0.0,1.0753229,-0.8080166,-2.3574374,0.388325,-0.020652793,-0.9209917,0.52333456,-1.4193941,-1.922464,2.5029235,1.6296017,-0.66631436,0.035975374,-1.1125742,0.24109201,-1.5586988,1.5727426,0.22355753,1.500019,0.37829548,4.405928,0.17726275,-0.56715256,2.094059,0.025591081,0.39258337,-0.19710642,-0.055463225,-1.4682494,1.2747358,2.0481572,0.42950156,-1.8054565,1.0689585,-1.6993427,-0.76911116,-0.94309837,1.5192121,0.48980442,0.2740001,-0.9283801,-1.2787225,0.961447,-0.3713052,2.0063913,-2.1317346,1.942678,1.5154634,-1.0779233,-0.33398193,0.34479055,-1.2633052,0.48665074,-0.015964042,-0.61474437,-0.18046238,-0.007341945,-0.29145923,-1.8133785,0.17249572,0.31629154,1.9151562,-1.1358937,0.99570256,-0.37675914,-0.95748216,0.44852906,-0.24268433,-0.14806806,-1.4170119,-0.70951945,0.4104492,0.22824937,-0.42028353,-0.06387809,-0.54452753,-0.69924104,0.5146549,0.7774064,-0.4704023,-1.7412403,-0.60783744,0.3032749,0.6538106,1.6726643,-0.28307402,3.3751392,2.1476862,2.4138083,0.9391487,1.8671218,0.7765761,-0.021676747,0.013820811,-1.1596639,-0.17190082,0.089890845,-0.014430758,-1.1290897,2.4231775,0
0.033613447,0.025210084,0.05462185,0.075630255,0.008403362,0.033613447,0.067226894,0.09243698,0.042016808,0.05462185,0.075630255,0.084033616,0.029411765,0.05042017,0.042016808,0.04621849,0.063025214,0.004201681,0.05042017,0.067226894,0.0,1.0747993,-0.7958445,-2.350447,0.39691243,-0.03024453,-0.9105774,0.53204983,-1.4096141,-1.92485,2.4851613,1.6225852,-0.67372197,0.03850817,-1.1168324,0.23084387,-1.5675284,1.5746021,0.22994094,1.5045015,0.37953445,4.404573,0.17500946,-0.5823943,2.082415,0.012380767,0.3725987,-0.20142783,-0.06973851,-1.4505882,1.2705711,2.041311,0.43400204,-1.7938977,1.0787845,-1.6932828,-0.76233643,-0.9369961,1.5114714,0.48851117,0.2589712,-0.9312676,-1.2762548,0.9485832,-0.38294116,1.9947577,-2.1209025,1.9477606,1.5109621,-1.0857965,-0.33527467,0.3527664,-1.2685244,0.48997742,0.0019171679,-0.62307173,-0.18374892,0.005637389,-0.29341322,-1.8138754,0.16915047,0.32401463,1.9048364,-1.133848,0.9881123,-0.36266944,-0.9422989,0.43956265,-0.23135547,-0.15358733,-1.4227091,-0.7118199,0.3979106,0.21847102,-0.4186337,-0.07579896,-0.5518184,-0.6769267,0.51367724,0.76753104,-0.47300792,-1.727773,-0.5934057,0.30556902,0.6532877,1.6603245,-0.2734323,3.3799062,2.1358407,2.4045305,0.93305147,1.8525661,0.7873749,-0.022374883,0.01897164,-1.1610616,-0.15455894,0.088942654,-0.016831614,-1.1120871,2.4165838,0
0.033613447,0.025210084,0.05462185,0.075630255,0.008403362,0.033613447,0.067226894,0.09243698,0.042016808,0.05462185,0.075630255,0.084033616,0.029411765,0.05462185,0.042016808,0.05042017,0.05882353,0.004201681,0.04621849,0.067226894,0.0,1.067438,-0.7969952,-2.3643227,0.3897066,-0.0007415376,-0.9335474,0.5477102,-1.4199044,-1.9192669,2.4971726,1.6324855,-0.6846187,0.03462802,-1.0871599,0.2505539,-1.5613943,1.5832679,0.23145716,1.5005066,0.37563464,4.422409,0.18613034,-0.5715331,2.0987713,0.03138179,0.37112305,-0.20392843,-0.065207414,-1.4616088,1.2837013,2.0336082,0.4184209,-1.7960244,1.0728846,-1.7064466,-0.77020925,-0.9516214,1.5298549,0.49954176,0.27336723,-0.930882,-1.2840872,0.9574822,-0.38943356,1.9942563,-2.1444535,1.9381133,1.5089602,-1.0881573,-0.33591047,0.35999703,-1.2773466,0.48886102,-0.0056746188,-0.60287726,-0.19134146,0.009828826,-0.30939978,-1.8277484,0.15383509,0.3059256,1.9191706,-1.1284006,0.9997921,-0.38487998,-0.9513615,0.4493403,-0.22407615,-0.15442921,-1.4184781,-0.7063895,0.39385906,0.2187424,-0.42399183,-0.07362474,-0.5360813,-0.6862409,0.51944846,0.7769513,-0.4722671,-1.7353942,-0.61031306,0.3067914,0.66313505,1.6648548,-0.30604342,3.389492,2.1437986,2.4150486,0.9517315,1.8607261,0.80088437,-0.0050206655,0.018789846,-1.1468711,-0.15867111,0.09236138,-0.02488812,-1.133038,2.426872,0
0.033613447,0.025210084,0.05462185,0.075630255,0.008403362,0.033613447,0.067226894,0.09243698,0.04621849,0.05462185,0.075630255,0.084033616,0.029411765,0.05042017,0.042016808,0.05042017,0.05882353,0.004201681,0.04621849,0.067226894,0.0,1.0797945,-0.8049832,-2.3634996,0.37670934,0.0038986816,-0.9377407,0.5394189,-1.4328637,-1.9343028,2.5122945,1.6431779,-0.66684335,0.03503445,-1.0967829,0.2312596,-1.5680711,1.5887421,0.23876508,1.507122,0.3899004,4.4072533,0.17408668,-0.5711261,2.1059082,0.02057142,0.38086745,-0.19316036,-0.07545629,-1.4563482,1.27888,2.0527077,0.41436952,-1.8190472,1.0708289,-1.7180651,-0.77904564,-0.94083583,1.5277103,0.5038958,0.28521204,-0.9360758,-1.2822824,0.9716358,-0.3869816,1.9940436,-2.1458704,1.9475474,1.5195721,-1.078693,-0.32184076,0.35868996,-1.2726214,0.48453537,0.00019326531,-0.61207676,-0.19786274,0.023248881,-0.29834646,-1.825278,0.14788833,0.31596652,1.9380574,-1.1390035,1.0003818,-0.3713641,-0.9585711,0.46073514,-0.22354528,-0.15978333,-1.4182855,-0.7169799,0.41329804,0.20793484,-0.4260358,-0.07063978,-0.5321798,-0.6946334,0.516457,0.77802855,-0.4778391,-1.7422347,-0.6051137,0.3006737,0.6487246,1.6693864,-0.29142955,3.3827443,2.1605635,2.4317877,0.954869,1.8547293,0.78149396,-0.019264331,0.013048394,-1.1517142,-0.15927796,0.07979869,-0.02192727,-1.1062905,2.4254344,0
0.037815128,0.029411765,0.05462185,0.075630255,0.008403362,0.029411765,0.067226894,0.10084034,0.037815128,0.05042017,0.084033616,0.084033616,0.025210084,0.05462185,0.042016808,0.037815128,0.05882353,0.004201681,0.05042017,0.067226894,0.0,1.102806,-0.7879195,-2.370451,0.43013874,0.012295529,-0.90187407,0.5552004,-1.422582,-1.9556445,2.5006618,1.6351916,-0.67566407,0.06477699,-1.0827898,0.21672548,-1.5897789,1.6111096,0.22695789,1.5600122,0.3446341,4.382068,0.16068074,-0.5787007,2.1035638,0.014344379,0.41211632,-0.1950076,-0.045676317,-1.4183528,1.2671273,2.0690567,0.47709683,-1.8333485,1.086491,-1.7447265,-0.7759863,-0.9316543,1.5741909,0.45124793,0.27625853,-0.9414295,-1.2903775,1.0001137,-0.37490126,2.0055203,-2.17486,1.961348,1.4957557,-1.1041552,-0.36300564,0.34095713,-1.2826924,0.5170943,0.014041405,-0.6695973,-0.20456882,0.0049870694,-0.2924699,-1.8180846,0.1580757,0.30401018,1.9148889,-1.1372688,0.97283775,-0.36878148,-0.94949293,0.47910997,-0.19891438,-0.14087017,-1.4313849,-0.7276023,0.42114386,0.18261345,-0.43301395,-0.083884485,-0.5333089,-0.66352695,0.52610314,0.79688,-0.45900396,-1.7363454,-0.56861216,0.29008153,0.6820274,1.639174,-0.30124754,3.4180472,2.143511,2.4024236,0.9125594,1.8970195,0.79559815,-0.011424284,0.0066463766,-1.1562978,-0.14003927,0.09010112,-0.036360323,-1.1367407,2.3889973,0
0.039647575,0.030837005,0.057268724,0.07488987,0.008810572,0.030837005,0.066079296,0.0969163,0.039647575,0.052863438,0.08370044,0.08370044,0.017621145,0.057268724,0.04405286,0.03524229,0.057268724,0.004405286,0.04845815,0.07048458,0.0,1.0897379,-0.95274395,-2.306923,0.48958966,0.0024293934,-0.8711672,0.620866,-1.4254423,-1.9625154,2.4386861,1.6128902,-0.7126546,0.0040328694,-1.1022611,0.15747233,-1.6330737,1.5534618,0.23017775,1.5284392,0.39511093,4.437201,0.19611461,-0.69469017,2.0675216,-0.02686012,0.26448387,-0.18767011,-0.091467425,-1.3399234,1.3072848,2.164453,0.41450134,-1.7508975,1.0853258,-1.6461304,-0.8018381,-0.9224107,1.6535479,0.42168143,0.26449814,-0.9706016,-1.3342636,0.98982394,-0.3997837,1.8749148,-2.1814325,1.9295958,1.4880222,-1.171741,-0.34259775,0.3446211,-1.2459414,0.55064225,-0.0053258995,-0.6387901,-0.34295496,-0.042230908,-0.3111341,-1.8799857,0.17276709,0.35226554,1.8299372,-1.1486602,0.90098953,-0.42849702,-0.99874765,0.47266045,-0.17931652,-0.18993321,-1.4852254,-0.75906336,0.4029125,0.15148602,-0.4704874,-0.022987138,-0.57181674,-0.6054045,0.5154294,0.8054315,-0.32713392,-1.757729,-0.5752169,0.32570738,0.7089885,1.6108313,-0.3342811,3.3403254,2.122708,2.4418786,0.94634926,1.8767024,0.9239424,-0.036815733,0.02105239,-1.188709,-0.030651378,0.07222089,-0.07891924,-1.0768799,2.3437316,0
0.057268724,0.052863438,0.03524229,0.04405286,0.030837005,0.017621145,0.07929515,0.09251101,0.030837005,0.03524229,0.07048458,0.066079296,0.039647575,0.057268724,0.057268724,0.04405286,0.07488987,0.008810572,0.04845815,0.057268724,0.0,1.0344814,-0.8716136,-2.3797355,0.36744243,0.07974288,-0.98057103,0.6218295,-1.4879613,-1.9197783,2.4711072,1.5626479,-0.68131953,-0.0613417,-0.9518915,0.39715937,-1.6567591,1.588898,0.24164592,1.4437662,0.3122925,4.268733,0.13719527,-0.58401185,2.226611,0.01996221,0.23032303,-0.1929511,0.016117657,-1.3832597,1.3036486,2.0112748,0.41626388,-1.7163477,1.1438779,-1.6784544,-0.7548689,-0.8561544,1.5452263,0.4112569,0.2783981,-0.9606291,-1.2737774,0.8714659,-0.17980985,1.9490931,-2.2019062,1.9007375,1.5137641,-1.0997008,-0.4318409,0.47552484,-1.2482867,0.5980295,0.0026203208,-0.59132844,-0.34888983,-0.12661669,-0.17626125,-1.8455678,0.12637782,0.35864595,1.8422467,-1.157663,0.93019617,-0.4807882,-0.9633628,0.47521442,-0.25146374,-0.19863428,-1.4328141,-0.794596,0.40109184,0.11815403,-0.43701905,-0.11574832,-0.57891756,-0.6842953,0.43774974,0.93102235,-0.4324062,-1.7237684,-0.61581427,0.27942675,0.6803119,1.6341213,-0.3393615,3.288166,2.1471834,2.2984176,1.0546684,1.9170282,0.94239223,0.08553405,-0.019775148,-1.1312404,-0.052620918,0.057620037,0.023054678,-1.2322336,2.3309598,0
0.03629032,0.04032258,0.052419353,0.06854839,0.008064516,0.028225806,0.06048387,0.09677419,0.06048387,0.044354837,0.08064516,0.08064516,0.012096774,0.048387095,0.044354837,0.052419353,0.06854839,0.004032258,0.044354837,0.06854839,0.0,1.0646043,-0.8520623,-2.3484259,0.3099291,-0.008301799,-0.8805569,0.6396719,-1.3597493,-1.9964749,2.4421365,1.6499221,-0.68336153,-0.0014073686,-1.1989517,0.06801885,-1.6281723,1.6159599,0.18070635,1.5061216,0.40393168,4.4861083,0.21405914,-0.6622814,2.0334857,-0.031698283,0.38528657,-0.16637355,-0.0757423,-1.4091833,1.3773384,2.064942,0.43219635,-1.8623517,1.103537,-1.659387,-0.7922877,-0.95627874,1.5751661,0.48585275,0.29032403,-0.99053985,-1.2731827,0.88717437,-0.45587066,1.9368705,-2.1128073,1.9550349,1.4833179,-1.0605257,-0.28495649,0.35184264,-1.362086,0.5942248,-0.0023385454,-0.64200324,-0.22233665,0.05053915,-0.2839252,-1.8240392,0.17472532,0.28579342,1.883357,-1.1499149,0.9795709,-0.29891962,-0.97839624,0.4021097,-0.1976537,-0.19482897,-1.427731,-0.69382626,0.42286465,0.2389818,-0.47479624,-0.10432225,-0.5232623,-0.5758177,0.4534937,0.79668546,-0.49585035,-1.7656767,-0.516712,0.20593844,0.7004342,1.5680777,-0.27154273,3.4430091,2.0855076,2.435081,0.8543308,1.7943149,0.82661015,-0.01223872,-0.004080728,-1.2419747,-0.16659082,0.10036582,-0.025986131,-1.0429202,2.393565,0
